"waitingdays","type","entry","city","checkyear","checkmonth"
99,"J1","Renewal","ShangHai",2008,12
97,"H1","Renewal","BeiJing",2008,12
96,"H1","New","BeiJing",2008,12
102,"F1","Renewal","ShangHai",2008,12
124,"H1","New","Others",2008,12
96,"F1","Renewal","BeiJing",2008,12
96,"J1","New","BeiJing",2008,12
98,"H1","Renewal","BeiJing",2008,12
93,"H1","New","ShangHai",2008,12
94,"F1","Renewal","ShangHai",2008,12
98,"F1","Renewal","ShangHai",2008,12
93,"H1","Renewal","BeiJing",2008,12
98,"H1","New","BeiJing",2008,12
100,"F1","Renewal","BeiJing",2008,12
95,"H1","New","GuangZhou",2008,12
94,"F1","Renewal","ShangHai",2008,12
95,"F1","Renewal","ShangHai",2008,12
93,"H1","Renewal","BeiJing",2008,12
102,"H1","Renewal","BeiJing",2008,12
95,"H1","Renewal","ShangHai",2008,12
96,"H1","Renewal","ShangHai",2008,12
90,"H1","Renewal","BeiJing",2008,12
94,"F1","Renewal","ShangHai",2008,12
95,"F1","Renewal","ShangHai",2008,12
94,"F1","Renewal","ShangHai",2008,12
95,"H1","Renewal","ShangHai",2008,12
97,"H1","New","BeiJing",2008,12
142,"F1","Renewal","Others",2008,12
101,"H1","Renewal","ShenYang",2008,12
97,"H1","New","BeiJing",2008,12
93,"H1","New","BeiJing",2008,12
93,"H1","Renewal","ShangHai",2008,12
93,"H1","Renewal","ChengDu",2008,12
104,"H1","New","Others",2008,12
92,"H1","Renewal","ChengDu",2008,12
115,"H1","New","Others",2008,12
93,"B1","New","BeiJing",2008,12
97,"B1","New","GuangZhou",2008,12
128,"H1","New","Others",2008,12
91,"H1","Renewal","ShangHai",2008,12
91,"F1","Renewal","ShangHai",2008,12
91,"H1","Renewal","BeiJing",2008,12
95,"H1","New","ShangHai",2008,12
95,"H4","New","ShangHai",2008,12
98,"H1","Renewal","BeiJing",2008,12
98,"H1","New","BeiJing",2008,12
95,"H1","Renewal","GuangZhou",2008,12
99,"H1","Renewal","ShangHai",2008,12
99,"F1","Renewal","ShangHai",2008,12
90,"H1","Renewal","BeiJing",2008,12
95,"H1","New","BeiJing",2008,12
100,"H1","New","ShangHai",2008,12
93,"F1","Renewal","ChengDu",2008,12
99,"H1","New","ShangHai",2008,12
90,"H1","Renewal","BeiJing",2008,12
87,"H1","Renewal","BeiJing",2008,12
87,"H1","New","ShangHai",2008,12
87,"H1","New","ShangHai",2008,12
101,"B1","New","GuangZhou",2008,12
90,"H4","New","ShangHai",2008,12
90,"H1","New","ShangHai",2008,12
87,"H1","Renewal","BeiJing",2008,12
97,"B1","New","Others",2008,12
86,"H1","New","Others",2008,12
94,"H1","Renewal","BeiJing",2008,12
91,"H1","Renewal","ShangHai",2008,12
90,"H4","New","ShangHai",2008,12
90,"H1","New","ShangHai",2008,12
86,"H1","New","BeiJing",2008,12
100,"H1","Renewal","ShenYang",2008,12
88,"H1","Renewal","GuangZhou",2008,12
88,"H1","Renewal","ShangHai",2008,12
100,"H1","Renewal","GuangZhou",2008,12
88,"H1","Renewal","Others",2008,12
88,"H1","New","ShangHai",2008,12
88,"H1","New","ShangHai",2008,12
90,"H1","Renewal","BeiJing",2008,12
87,"H1","Renewal","ShangHai",2008,12
87,"H1","Renewal","BeiJing",2008,12
87,"H1","New","BeiJing",2008,12
87,"H1","Renewal","BeiJing",2008,12
87,"H1","Renewal","BeiJing",2008,12
98,"H1","Renewal","ChengDu",2008,12
97,"H1","New","ChengDu",2008,12
97,"H1","Renewal","ChengDu",2008,12
97,"H1","New","ChengDu",2008,12
98,"H4","New","ChengDu",2008,12
97,"H1","New","ChengDu",2008,12
2073,"F1","New","BeiJing",2008,12
85,"H1","Renewal","ShangHai",2009,1
91,"H1","Renewal","ShenYang",2009,1
86,"H1","Renewal","ShangHai",2009,1
135,"H1","Renewal","BeiJing",2009,1
87,"H1","Renewal","BeiJing",2009,1
100,"H1","Renewal","GuangZhou",2009,1
99,"H1","Renewal","Toronto",2009,1
91,"H1","New","ShangHai",2009,1
53,"F1","New","ShangHai",2009,1
92,"H1","Renewal","ShenYang",2009,1
91,"H1","Renewal","ChengDu",2009,1
90,"H1","Renewal","ChengDu",2009,1
93,"H1","New","BeiJing",2009,1
85,"H1","Renewal","ChengDu",2009,1
91,"H4","Renewal","ChengDu",2009,1
103,"H1","Renewal","ShenYang",2009,1
91,"H1","Renewal","Others",2009,1
90,"H1","Renewal","Others",2009,1
90,"H1","Renewal","BeiJing",2009,1
88,"H1","New","BeiJing",2009,1
88,"B2","Renewal","ChengDu",2009,1
86,"L1","New","GuangZhou",2009,1
93,"H1","New","GuangZhou",2009,1
87,"L1","New","ShangHai",2009,1
86,"L2","New","GuangZhou",2009,1
84,"H4","New","Others",2009,1
100,"H1","Renewal","BeiJing",2009,1
85,"H1","Renewal","BeiJing",2009,1
91,"H1","Renewal","BeiJing",2009,1
105,"H1","Renewal","Others",2009,1
85,"H1","New","Others",2009,1
85,"H4","New","Others",2009,1
121,"J1","New","ShangHai",2009,1
427,"J2","New","ShenYang",2009,1
59,"H1","Renewal","BeiJing",2009,1
112,"F1","Renewal","BeiJing",2009,1
91,"H1","New","ChengDu",2009,1
140,"F1","Renewal","Others",2009,1
125,"H1","Renewal","ShangHai",2009,1
90,"H1","New","ShangHai",2009,1
99,"B1","New","Others",2009,1
91,"H1","Renewal","ShangHai",2009,1
88,"H1","New","Others",2009,1
88,"H1","Renewal","ShenYang",2009,1
88,"B1","New","Others",2009,1
50,"F1","Renewal","GuangZhou",2009,1
87,"H1","New","ShangHai",2009,1
94,"H1","Renewal","ShenYang",2009,1
85,"B2","New","Others",2009,1
93,"B1","New","Vancouver",2009,1
84,"H1","Renewal","ShenYang",2009,1
86,"B1","New","ShangHai",2009,1
84,"H1","New","ShangHai",2009,1
114,"H1","Renewal","ShangHai",2009,1
57,"L2","New","ChengDu",2009,1
93,"H1","New","ChengDu",2009,1
92,"H1","Renewal","ChengDu",2009,1
89,"H1","Renewal","ShenYang",2009,1
85,"H1","Renewal","ChengDu",2009,1
120,"H1","Renewal","BeiJing",2009,1
90,"H1","Renewal","BeiJing",2009,1
83,"F1","Renewal","GuangZhou",2009,1
85,"H1","New","ShangHai",2009,1
120,"J2","New","ChengDu",2009,1
87,"H1","Renewal","ShangHai",2009,1
81,"J1","Renewal","BeiJing",2009,1
102,"B2","New","Others",2009,1
89,"B1","New","Others",2009,1
86,"B1","Renewal","Others",2009,1
75,"J1","New","BeiJing",2009,1
85,"H1","Renewal","ShangHai",2009,1
85,"B2","New","Others",2009,1
97,"J2","New","ShangHai",2009,1
161,"J1","New","ShangHai",2009,1
84,"H1","Renewal","ShangHai",2009,1
96,"J1","Renewal","BeiJing",2009,1
73,"J1","New","ShenYang",2009,1
109,"F1","Renewal","ChengDu",2009,2
80,"B2","New","ShangHai",2009,2
109,"F1","Renewal","ChengDu",2009,2
37,"F1","Renewal","Others",2009,2
108,"J1","New","Others",2009,2
108,"J1","Renewal","ChengDu",2009,2
108,"J1","New","Others",2009,2
80,"B2","New","BeiJing",2009,2
177,"J1","New","Others",2009,2
37,"J1","New","ShenYang",2009,2
112,"J1","New","ShangHai",2009,2
69,"H1","New","ChengDu",2009,2
107,"J1","New","BeiJing",2009,2
82,"L1","New","BeiJing",2009,2
83,"H1","Renewal","ChengDu",2009,2
82,"H1","Renewal","Others",2009,2
82,"H4","New","ShangHai",2009,2
81,"H1","New","ShangHai",2009,2
106,"J1","New","BeiJing",2009,2
99,"H1","Renewal","BeiJing",2009,2
90,"J1","New","BeiJing",2009,2
74,"B1","New","ShangHai",2009,2
80,"B1","New","ShangHai",2009,2
92,"F1","Renewal","ChengDu",2009,2
77,"H1","Renewal","BeiJing",2009,2
87,"F1","Renewal","ChengDu",2009,2
89,"H1","Renewal","GuangZhou",2009,2
93,"H1","New","ShenYang",2009,2
28,"J1","New","Others",2009,2
76,"H1","Renewal","BeiJing",2009,2
63,"J1","New","ShangHai",2009,2
75,"B2","Renewal","BeiJing",2009,2
56,"J1","New","ShangHai",2009,2
74,"H1","Renewal","BeiJing",2009,2
77,"H1","New","ShangHai",2009,2
75,"H1","Renewal","ShangHai",2009,2
81,"H4","New","BeiJing",2009,2
75,"H1","Renewal","ShangHai",2009,2
77,"H4","New","ShangHai",2009,2
77,"H1","New","ShangHai",2009,2
24,"J1","New","ShenYang",2009,2
52,"J1","New","ShenYang",2009,2
73,"H1","Renewal","Others",2009,2
71,"H1","New","BeiJing",2009,2
75,"L1","New","GuangZhou",2009,2
54,"F1","Renewal","BeiJing",2009,2
54,"J1","New","BeiJing",2009,2
54,"J1","New","BeiJing",2009,2
54,"J1","New","BeiJing",2009,2
76,"H1","Renewal","ShangHai",2009,2
96,"B1","New","Others",2009,2
71,"H1","New","ShangHai",2009,2
28,"H1","New","BeiJing",2009,2
44,"J1","New","BeiJing",2009,2
91,"H1","New","BeiJing",2009,2
62,"J1","New","Others",2009,2
82,"B1","New","Others",2009,2
16,"J1","New","ShangHai",2009,2
21,"F1","Renewal","Vancouver",2009,2
79,"B1","New","BeiJing",2009,2
15,"J1","New","BeiJing",2009,2
15,"J1","New","ShangHai",2009,2
14,"F1","New","BeiJing",2009,2
12,"J1","New","ShangHai",2009,2
11,"F1","New","ShenYang",2009,2
13,"J1","New","ShenYang",2009,2
68,"H1","Renewal","Others",2009,3
44,"F1","New","ShangHai",2009,3
9,"F1","New","ShangHai",2009,3
71,"B1","New","Europe",2009,3
72,"B1","New","ShangHai",2009,3
29,"J1","New","ShangHai",2009,3
71,"B2","New","ShangHai",2009,3
7,"J1","New","ShangHai",2009,3
16,"J1","New","ShangHai",2009,3
16,"J2","New","ShangHai",2009,3
25,"J1","New","ChengDu",2009,3
69,"H1","Renewal","Others",2009,3
23,"F1","New","BeiJing",2009,3
71,"L1","New","ShangHai",2009,3
78,"B1","New","Europe",2009,3
195,"L1","New","GuangZhou",2009,3
21,"J1","New","GuangZhou",2009,3
68,"B2","Renewal","Toronto",2009,3
67,"B1","New","Others",2009,3
70,"H1","New","ShenYang",2009,3
146,"J1","New","BeiJing",2009,3
4,"F1","New","GuangZhou",2009,3
31,"F2","Renewal","GuangZhou",2009,3
23,"F1","Renewal","ShangHai",2009,3
67,"B1","New","Others",2009,3
21,"F1","New","ShangHai",2009,3
20,"J1","New","ShangHai",2009,3
23,"J2","New","Others",2009,3
19,"J1","New","ShangHai",2009,3
69,"H1","New","ChengDu",2009,3
91,"J1","New","BeiJing",2009,3
78,"H1","New","ShangHai",2009,3
20,"J1","New","BeiJing",2009,3
57,"J1","New","BeiJing",2009,3
40,"F1","New","BeiJing",2009,3
22,"J1","Renewal","ChengDu",2009,3
76,"B2","New","BeiJing",2009,3
67,"H1","New","BeiJing",2009,3
67,"H4","New","BeiJing",2009,3
68,"B1","New","Others",2009,3
71,"H1","New","BeiJing",2009,3
64,"H1","New","ShangHai",2009,3
65,"H1","Renewal","ShangHai",2009,3
65,"H1","New","ShangHai",2009,3
71,"J1","New","ShenYang",2009,3
25,"B1","New","BeiJing",2009,3
14,"H1","New","Others",2009,3
182,"H1","New","Ottawa",2009,3
30,"F2","New","BeiJing",2009,3
62,"B1","New","Others",2009,3
41,"J1","New","BeiJing",2009,3
41,"J1","New","BeiJing",2009,3
62,"B1","New","Others",2009,3
27,"J1","New","GuangZhou",2009,3
45,"F1","Renewal","Others",2009,3
40,"J1","New","BeiJing",2009,3
73,"B1","New","ShenYang",2009,3
40,"F1","New","BeiJing",2009,3
40,"J1","Renewal","BeiJing",2009,3
40,"J1","New","ShangHai",2009,3
49,"J1","New","ChengDu",2009,3
85,"B1","New","GuangZhou",2009,3
60,"B2","New","BeiJing",2009,3
42,"F2","New","BeiJing",2009,3
43,"J1","New","ChengDu",2009,3
67,"B1","New","BeiJing",2009,3
68,"B1","New","ShangHai",2009,3
58,"B1","New","BeiJing",2009,3
41,"J2","New","BeiJing",2009,3
65,"B1","New","Others",2009,3
56,"H1","Renewal","Montreal",2009,3
69,"B2","New","ChengDu",2009,3
41,"J1","New","ShenYang",2009,3
37,"J1","Renewal","ShangHai",2009,3
64,"B1","New","ChengDu",2009,3
62,"H1","Renewal","ShangHai",2009,3
12,"F2","New","GuangZhou",2009,3
34,"J2","New","BeiJing",2009,3
64,"H1","New","ShenYang",2009,3
40,"J1","Renewal","ShangHai",2009,3
13,"L2","New","BeiJing",2009,3
61,"H1","Renewal","ShenYang",2009,3
61,"H1","New","Others",2009,3
34,"J1","New","BeiJing",2009,3
31,"F1","New","ShangHai",2009,3
43,"J1","New","ChengDu",2009,3
41,"J1","New","ShenYang",2009,3
63,"B1","Renewal","BeiJing",2009,3
63,"B1","Renewal","BeiJing",2009,3
47,"F1","New","ShangHai",2009,3
60,"H1","Renewal","BeiJing",2009,3
63,"B2","New","ShenYang",2009,3
36,"J1","Renewal","Others",2009,3
58,"H1","New","BeiJing",2009,4
34,"J1","New","ShangHai",2009,4
29,"J1","New","ShangHai",2009,4
61,"H1","Renewal","ChengDu",2009,4
33,"F1","Renewal","ShangHai",2009,4
57,"H1","Renewal","ShangHai",2009,4
32,"J1","New","BeiJing",2009,4
36,"J1","New","ShangHai",2009,4
105,"J1","New","BeiJing",2009,4
32,"J1","New","ShangHai",2009,4
57,"L1","New","ShangHai",2009,4
49,"J1","New","BeiJing",2009,4
61,"B1","New","BeiJing",2009,4
57,"H1","New","ChengDu",2009,4
50,"B1","New","BeiJing",2009,4
56,"B1","New","Others",2009,4
34,"J1","New","ShangHai",2009,4
30,"J1","New","BeiJing",2009,4
7,"F1","New","BeiJing",2009,4
54,"B2","New","ChengDu",2009,4
27,"F1","New","BeiJing",2009,4
50,"L1","New","BeiJing",2009,4
49,"J1","New","ShangHai",2009,4
15,"J2","New","BeiJing",2009,4
15,"F1","New","BeiJing",2009,4
32,"F1","Renewal","ChengDu",2009,4
53,"B2","New","ChengDu",2009,4
45,"H1","Renewal","ShangHai",2009,4
46,"H1","New","BeiJing",2009,4
45,"H1","New","Others",2009,4
20,"J2","New","BeiJing",2009,4
14,"J1","New","GuangZhou",2009,4
14,"J1","New","ShangHai",2009,4
45,"H4","New","Others",2009,4
50,"H1","New","ShangHai",2009,4
62,"H1","Renewal","ShangHai",2009,4
21,"F1","New","BeiJing",2009,4
26,"J1","New","BeiJing",2009,4
23,"J1","New","BeiJing",2009,4
23,"J1","New","BeiJing",2009,4
23,"J1","New","BeiJing",2009,4
50,"H4","New","BeiJing",2009,4
65,"H1","New","ChengDu",2009,4
23,"J1","New","Others",2009,4
69,"H1","Renewal","ChengDu",2009,4
44,"H1","Renewal","ShangHai",2009,4
25,"F1","New","BeiJing",2009,4
56,"B2","New","BeiJing",2009,4
56,"F1","New","ChengDu",2009,4
47,"H1","New","ShangHai",2009,4
46,"B1","New","Others",2009,4
42,"H1","New","BeiJing",2009,4
22,"J1","New","ShangHai",2009,4
21,"F1","New","BeiJing",2009,4
28,"F1","Renewal","BeiJing",2009,4
42,"F1","New","ChengDu",2009,4
45,"F1","New","ChengDu",2009,4
33,"F1","New","ShenYang",2009,4
24,"F1","New","ShangHai",2009,4
24,"F1","New","ShangHai",2009,4
41,"F1","New","ShenYang",2009,4
42,"H1","Renewal","BeiJing",2009,4
37,"F1","New","BeiJing",2009,4
40,"F1","New","GuangZhou",2009,4
36,"J1","New","BeiJing",2009,4
25,"J1","New","BeiJing",2009,4
42,"H1","Renewal","Ottawa",2009,4
25,"F1","New","BeiJing",2009,4
40,"F1","New","ChengDu",2009,4
41,"H1","New","Montreal",2009,4
43,"F1","New","BeiJing",2009,4
99,"F1","New","BeiJing",2009,4
41,"F1","New","BeiJing",2009,4
40,"H1","New","BeiJing",2009,4
41,"H1","Renewal","ShenYang",2009,4
37,"B1","New","BeiJing",2009,4
23,"F1","New","Others",2009,4
38,"F1","New","ShangHai",2009,4
36,"F2","New","GuangZhou",2009,4
16,"F1","New","BeiJing",2009,4
42,"H1","New","ShangHai",2009,4
58,"F1","New","BeiJing",2009,4
36,"H1","New","BeiJing",2009,4
16,"F1","New","ShenYang",2009,4
43,"B2","New","BeiJing",2009,4
32,"F1","New","BeiJing",2009,4
34,"F1","New","BeiJing",2009,4
92,"F1","New","BeiJing",2009,4
34,"F1","New","BeiJing",2009,4
7,"F1","New","ShangHai",2009,4
14,"F1","New","ShenYang",2009,4
35,"F1","New","BeiJing",2009,4
35,"F1","New","BeiJing",2009,4
35,"H1","New","ShangHai",2009,4
41,"F1","New","ShangHai",2009,4
35,"J1","New","ShangHai",2009,4
93,"F1","New","BeiJing",2009,4
64,"F1","New","ShangHai",2009,4
93,"F1","New","BeiJing",2009,4
93,"F1","New","BeiJing",2009,4
15,"F1","New","ShenYang",2009,4
31,"F1","New","ShangHai",2009,4
34,"F1","Renewal","BeiJing",2009,4
29,"L1","Renewal","GuangZhou",2009,4
92,"F1","New","ShangHai",2009,4
33,"B1","New","Others",2009,4
5,"F1","New","GuangZhou",2009,4
40,"F1","New","GuangZhou",2009,4
33,"F1","New","BeiJing",2009,4
33,"F1","New","BeiJing",2009,4
31,"F1","New","Ottawa",2009,5
38,"F1","New","ShangHai",2009,5
30,"F1","New","ShangHai",2009,5
30,"F1","New","ShangHai",2009,5
36,"F1","New","ChengDu",2009,5
39,"H1","New","ShangHai",2009,5
30,"F1","New","ShenYang",2009,5
32,"F1","New","ChengDu",2009,5
30,"F1","New","ShangHai",2009,5
29,"F1","New","ShangHai",2009,5
36,"F1","Renewal","BeiJing",2009,5
29,"F1","New","ShangHai",2009,5
35,"F1","New","GuangZhou",2009,5
29,"F1","Renewal","BeiJing",2009,5
29,"F1","New","BeiJing",2009,5
31,"F1","Renewal","Others",2009,5
30,"F1","New","ShangHai",2009,5
35,"F1","New","ChengDu",2009,5
31,"H1","New","Ottawa",2009,5
30,"F1","New","BeiJing",2009,5
31,"F1","Renewal","ShangHai",2009,5
25,"F1","New","ChengDu",2009,5
29,"F1","New","ChengDu",2009,5
38,"F1","New","BeiJing",2009,5
31,"J1","New","BeiJing",2009,5
27,"J1","New","BeiJing",2009,5
29,"F1","New","ChengDu",2009,5
38,"J1","New","ShangHai",2009,5
106,"J1","New","BeiJing",2009,5
28,"F1","New","ShangHai",2009,5
44,"F1","New","ShangHai",2009,5
28,"F1","New","ShangHai",2009,5
29,"F1","New","ShangHai",2009,5
27,"F1","New","BeiJing",2009,5
29,"F1","New","ShangHai",2009,5
27,"F1","New","BeiJing",2009,5
27,"F1","New","BeiJing",2009,5
37,"J1","New","ShangHai",2009,5
26,"F1","New","ShangHai",2009,5
26,"F1","New","ChengDu",2009,5
27,"F1","New","ChengDu",2009,5
26,"F1","New","BeiJing",2009,5
25,"F1","New","GuangZhou",2009,5
26,"F1","New","ChengDu",2009,5
26,"H1","New","BeiJing",2009,5
40,"F1","New","ShangHai",2009,5
26,"F1","New","ShangHai",2009,5
26,"F1","Renewal","BeiJing",2009,5
67,"J1","New","Europe",2009,5
26,"F1","Renewal","ShangHai",2009,5
25,"F1","New","ChengDu",2009,5
29,"J2","New","ShenYang",2009,5
26,"F1","Renewal","ShangHai",2009,5
25,"J1","New","BeiJing",2009,5
25,"F1","New","BeiJing",2009,5
24,"F1","New","BeiJing",2009,5
25,"F1","New","BeiJing",2009,5
27,"F1","New","ShangHai",2009,5
24,"F1","New","BeiJing",2009,5
25,"F1","Renewal","BeiJing",2009,5
25,"F1","New","BeiJing",2009,5
25,"F1","New","BeiJing",2009,5
25,"F1","New","BeiJing",2009,5
27,"J1","New","Ottawa",2009,5
25,"F1","New","BeiJing",2009,5
49,"F1","Renewal","GuangZhou",2009,5
26,"F1","Renewal","BeiJing",2009,5
27,"F1","New","ShangHai",2009,5
24,"J1","New","BeiJing",2009,5
293,"J1","New","GuangZhou",2009,5
41,"J1","Renewal","BeiJing",2009,5
26,"J1","New","BeiJing",2009,5
49,"H1","Renewal","ShenYang",2009,5
22,"F1","New","GuangZhou",2009,5
23,"F1","New","ShenYang",2009,5
22,"B1","New","BeiJing",2009,5
20,"F1","New","ShangHai",2009,5
28,"F1","Renewal","ShangHai",2009,5
21,"F1","New","HongKong",2009,5
21,"F1","Renewal","BeiJing",2009,5
43,"F1","New","Europe",2009,5
49,"F1","New","GuangZhou",2009,5
20,"F1","New","ShangHai",2009,5
23,"F1","New","BeiJing",2009,5
33,"F1","New","ShangHai",2009,5
20,"F1","New","ShangHai",2009,5
22,"F1","Renewal","ShangHai",2009,5
22,"F1","New","ShenYang",2009,5
19,"F1","New","ShangHai",2009,5
22,"F1","New","GuangZhou",2009,5
19,"F1","New","ShangHai",2009,5
20,"F1","New","GuangZhou",2009,5
48,"J1","New","GuangZhou",2009,5
16,"F1","New","ShangHai",2009,5
21,"F1","New","ShangHai",2009,5
21,"F1","New","ShangHai",2009,5
23,"H1","Renewal","ChengDu",2009,5
18,"F1","New","GuangZhou",2009,5
18,"F1","New","ShangHai",2009,5
18,"J1","New","HongKong",2009,5
21,"F1","Renewal","ShangHai",2009,5
22,"H1","New","BeiJing",2009,5
18,"F1","Renewal","ShangHai",2009,5
19,"J1","Renewal","ShangHai",2009,5
88,"J1","New","ShangHai",2009,5
27,"F1","New","ChengDu",2009,5
124,"F1","New","BeiJing",2009,5
16,"B1","New","ShangHai",2009,5
17,"F1","New","BeiJing",2009,5
20,"F1","New","BeiJing",2009,5
26,"J1","Renewal","GuangZhou",2009,5
20,"F1","New","BeiJing",2009,5
24,"F1","Renewal","GuangZhou",2009,5
77,"F1","New","BeiJing",2009,5
20,"F1","New","ShangHai",2009,5
33,"F1","New","ShangHai",2009,5
38,"F1","New","GuangZhou",2009,5
21,"F1","Renewal","BeiJing",2009,5
20,"F1","New","BeiJing",2009,5
15,"F1","Renewal","ShangHai",2009,5
20,"F1","New","ShangHai",2009,5
19,"F1","Renewal","BeiJing",2009,5
19,"F1","New","BeiJing",2009,5
75,"F1","New","BeiJing",2009,5
117,"F1","New","BeiJing",2009,5
77,"F1","New","BeiJing",2009,5
24,"F1","New","ChengDu",2009,5
16,"F1","New","ShenYang",2009,5
15,"F1","New","BeiJing",2009,5
24,"F1","New","ChengDu",2009,5
16,"F1","New","BeiJing",2009,5
21,"F1","New","ShenYang",2009,5
16,"F1","New","BeiJing",2009,5
16,"F1","New","ShenYang",2009,5
44,"F1","New","BeiJing",2009,5
17,"F1","New","BeiJing",2009,5
19,"F1","New","ChengDu",2009,5
16,"F1","New","ShenYang",2009,5
23,"F1","New","ChengDu",2009,5
16,"F1","Renewal","BeiJing",2009,5
24,"F1","New","GuangZhou",2009,5
16,"F1","New","BeiJing",2009,5
23,"F1","Renewal","ChengDu",2009,5
22,"F1","New","ChengDu",2009,5
16,"F1","New","Others",2009,5
20,"F1","New","BeiJing",2009,5
34,"F1","New","ChengDu",2009,5
16,"F1","Renewal","ShangHai",2009,5
27,"F1","Renewal","GuangZhou",2009,5
24,"F1","New","GuangZhou",2009,5
24,"F1","New","ShenYang",2009,5
20,"F1","New","BeiJing",2009,5
71,"F1","New","ShangHai",2009,5
16,"F1","New","ShangHai",2009,5
21,"J1","New","BeiJing",2009,5
23,"F1","New","ChengDu",2009,5
17,"F1","Renewal","BeiJing",2009,5
20,"F1","New","BeiJing",2009,5
20,"F1","Renewal","BeiJing",2009,5
16,"F1","New","BeiJing",2009,5
16,"H1","Renewal","ShenYang",2009,5
22,"F1","New","ShenYang",2009,5
16,"F1","New","ShangHai",2009,5
17,"F1","New","ShangHai",2009,5
17,"J1","New","ShangHai",2009,5
17,"F1","Renewal","ShenYang",2009,5
15,"F1","New","ShangHai",2009,5
15,"F1","Renewal","ShangHai",2009,5
72,"J1","New","ShangHai",2009,5
75,"F1","New","ShenYang",2009,5
26,"J1","New","GuangZhou",2009,5
18,"F1","New","BeiJing",2009,5
18,"F1","New","BeiJing",2009,5
70,"F1","New","BeiJing",2009,5
18,"F1","New","BeiJing",2009,5
18,"F1","Renewal","BeiJing",2009,5
18,"F1","New","BeiJing",2009,5
41,"F1","New","BeiJing",2009,5
19,"F1","Renewal","BeiJing",2009,5
26,"F1","New","GuangZhou",2009,5
41,"F1","New","BeiJing",2009,5
17,"F1","Renewal","GuangZhou",2009,5
18,"F1","New","BeiJing",2009,5
16,"F1","New","ShangHai",2009,5
18,"F1","Renewal","ShangHai",2009,5
18,"F1","New","BeiJing",2009,5
70,"F1","New","ShangHai",2009,5
21,"F1","New","ChengDu",2009,5
23,"F1","New","BeiJing",2009,5
64,"F1","New","BeiJing",2009,5
105,"J1","New","ChengDu",2009,5
92,"F1","New","BeiJing",2009,5
69,"F1","New","BeiJing",2009,5
71,"J1","New","BeiJing",2009,5
149,"F1","New","BeiJing",2009,5
18,"F1","Renewal","BeiJing",2009,5
17,"F1","New","ShangHai",2009,5
19,"F1","New","BeiJing",2009,5
18,"F1","Renewal","ShangHai",2009,5
33,"F1","Renewal","BeiJing",2009,5
18,"F1","New","BeiJing",2009,5
19,"F1","New","BeiJing",2009,5
24,"F1","New","ShenYang",2009,5
41,"J1","New","BeiJing",2009,5
70,"F1","New","BeiJing",2009,5
68,"F1","New","BeiJing",2009,5
19,"F1","New","BeiJing",2009,5
20,"F1","New","ChengDu",2009,5
20,"F1","New","BeiJing",2009,5
21,"F1","New","ShangHai",2009,5
21,"F1","Renewal","ShangHai",2009,5
20,"F1","New","ChengDu",2009,5
21,"J1","New","BeiJing",2009,5
